class,region,imp
pos,inside,0.02496342
pos,inside,0.0058460934
pos,inside,0.04966362
pos,inside,0.015994867
pos,inside,0.12798037
pos,inside,0.050997406
pos,inside,0.04632076
pos,inside,0.026594078
pos,inside,0.03356626
pos,inside,0.015677068
pos,inside,0.06850138
pos,inside,0.0641599
pos,inside,0.055912595
pos,inside,0.005898504
pos,inside,0.045836937
pos,inside,0.057964705
pos,inside,0.005949269
pos,inside,0.071594656
pos,inside,0.06113263
pos,inside,0.007077317
pos,inside,0.1101288
pos,inside,0.015538883
pos,inside,0.02030694
pos,inside,0.021706691
pos,inside,0.005966945
pos,inside,0.054664966
pos,inside,0.018771349
pos,inside,0.054583393
pos,inside,0.009899563
pos,inside,0.015935266
pos,inside,0.19948924
pos,inside,0.04724382
pos,inside,0.020748412
pos,inside,0.06928278
pos,inside,0.039175164
pos,inside,0.01381158
pos,inside,0.048321337
pos,inside,0.016469974
pos,inside,0.022086892
pos,inside,0.04649747
pos,inside,0.027729386
pos,inside,0.008973471
pos,inside,0.017711762
pos,inside,0.029213931
pos,inside,0.040410727
pos,inside,0.020207144
pos,inside,0.031303342
pos,inside,0.042099796
pos,inside,0.042037573
pos,inside,0.019517567
pos,inside,0.022895772
pos,inside,0.021382565
pos,inside,0.0613877
pos,inside,0.041791134
pos,inside,0.035631
pos,inside,0.020456566
pos,inside,0.09471169
pos,inside,0.016358543
pos,inside,0.009141758
pos,inside,0.045963444
pos,inside,0.021365527
pos,inside,0.03514457
pos,inside,0.0077244127
pos,inside,0.02199314
pos,inside,0.026245024
pos,inside,0.046647757
pos,inside,0.018556885
pos,inside,0.06818396
pos,inside,0.10780776
pos,inside,0.0065080253
pos,inside,0.0049628597
pos,inside,0.043721143
pos,inside,0.04638791
pos,inside,0.020746807
pos,inside,0.017364986
pos,inside,0.08945405
pos,inside,0.028306477
pos,inside,0.14296484
pos,inside,0.019708296
pos,inside,0.028415013
pos,inside,0.031047268
pos,inside,0.008583393
pos,inside,0.0107397195
pos,inside,0.016369397
pos,inside,0.04127338
pos,inside,0.011128266
pos,inside,0.033718966
pos,inside,0.075225465
pos,inside,0.057821423
pos,inside,0.01716635
pos,inside,0.055960007
pos,inside,0.018278822
pos,inside,0.031535994
pos,inside,0.08524407
pos,inside,0.029109322
pos,inside,0.14332384
pos,inside,0.007003577
pos,inside,0.005429983
pos,inside,0.011952162
pos,inside,0.07270588
pos,inside,0.0507976
pos,inside,0.007780409
pos,inside,0.011254196
pos,inside,0.024675313
pos,inside,0.043431234
pos,inside,0.014212144
pos,inside,0.031517047
pos,inside,0.020101607
pos,inside,0.07710717
pos,inside,0.01603629
pos,inside,0.010406899
pos,inside,0.015434425
pos,inside,0.014045971
pos,inside,0.015160267
pos,inside,0.070856616
pos,inside,0.033013668
pos,inside,0.045570757
pos,inside,0.018795732
pos,inside,0.029751314
pos,inside,0.07901043
pos,inside,0.017173868
pos,inside,0.023226589
pos,inside,0.03752766
pos,inside,0.024553537
pos,inside,0.02666083
pos,inside,0.013360252
pos,inside,0.027758267
pos,inside,0.04744419
pos,inside,0.03665566
pos,inside,0.058939286
pos,inside,0.043705035
pos,inside,0.0043491493
pos,inside,0.051294725
pos,inside,0.025886621
pos,inside,0.02137531
pos,inside,0.06696751
pos,inside,0.021625785
pos,inside,0.017367912
pos,inside,0.013950342
pos,inside,0.032567624
pos,inside,0.010431892
pos,inside,0.10054902
pos,inside,0.03138409
pos,inside,0.056470223
pos,inside,0.026901457
pos,inside,0.018400988
pos,inside,0.020747283
pos,inside,0.02178785
pos,inside,0.009938209
pos,inside,0.008867622
pos,inside,0.01920238
pos,inside,0.046993464
pos,inside,0.058180258
pos,inside,0.061020844
pos,inside,0.10643682
pos,inside,0.0082485
pos,inside,0.014818083
pos,inside,0.010867162
pos,inside,0.08903178
pos,inside,0.032165416
pos,inside,0.021374257
pos,inside,0.007683165
pos,inside,0.055702906
pos,inside,0.03675092
pos,inside,0.046494544
pos,inside,0.010932068
pos,inside,0.018243978
pos,inside,0.019974915
pos,inside,0.041499224
pos,inside,0.06869117
pos,inside,0.0127964895
pos,inside,0.0724969
pos,inside,0.045625526
pos,inside,0.015415134
pos,inside,0.07982393
pos,inside,0.0277209
pos,inside,0.036168862
pos,inside,0.057804737
pos,inside,0.019550873
pos,inside,0.03866465
pos,inside,0.041336797
pos,inside,0.020286858
pos,inside,0.05172149
pos,inside,0.024711704
pos,inside,0.093787014
pos,outside,0.01894599
pos,outside,0.025223728
pos,outside,0.022279419
pos,outside,0.020733973
pos,outside,0.012458689
pos,outside,0.016287481
pos,outside,0.01716293
pos,outside,0.01095886
pos,outside,0.010186267
pos,outside,0.014103874
pos,outside,0.013298988
pos,outside,0.011098948
pos,outside,0.021231622
pos,outside,0.008331986
pos,outside,0.026201637
pos,outside,0.008595657
pos,outside,0.010066675
pos,outside,0.018791726
pos,outside,0.0096810805
pos,outside,0.018961031
pos,outside,0.030588558
pos,outside,0.025391387
pos,outside,0.02543803
pos,outside,0.02938396
pos,outside,0.03890197
pos,outside,0.025293125
pos,outside,0.012324373
pos,outside,0.010755056
pos,outside,0.03074457
pos,outside,0.013095985
pos,outside,0.018105032
pos,outside,0.010826329
pos,outside,0.005314716
pos,outside,0.00945431
pos,outside,0.012880903
pos,outside,0.026074074
pos,outside,0.01713421
pos,outside,0.00548217
pos,outside,0.018650878
pos,outside,0.022216355
pos,outside,0.049634375
pos,outside,0.010372014
pos,outside,0.024172988
pos,outside,0.025735116
pos,outside,0.013971711
pos,outside,0.017807549
pos,outside,0.019722322
pos,outside,0.02075466
pos,outside,0.08472996
pos,outside,0.02426542
pos,outside,0.01583811
pos,outside,0.016335016
pos,outside,0.016255716
pos,outside,0.026161682
pos,outside,0.019900672
pos,outside,0.024339281
pos,outside,0.005588434
pos,outside,0.010135197
pos,outside,0.012315932
pos,outside,0.014113435
pos,outside,0.0111267
pos,outside,0.023367196
pos,outside,0.0149141485
pos,outside,0.011374286
pos,outside,0.035667296
pos,outside,0.023962064
pos,outside,0.015576613
pos,outside,0.022150906
pos,outside,0.00641547
pos,outside,0.014977467
pos,outside,0.005895401
pos,outside,0.01429219
pos,outside,0.035558414
pos,outside,0.038035482
pos,outside,0.020553948
pos,outside,0.057090137
pos,outside,0.0047680647
pos,outside,0.025292836
pos,outside,0.026532851
pos,outside,0.010833474
pos,outside,0.0095578395
pos,outside,0.021759512
pos,outside,0.05649022
pos,outside,0.021424023
pos,outside,0.01582162
pos,outside,0.01882755
pos,outside,0.022512903
pos,outside,0.03755595
pos,outside,0.017772889
pos,outside,0.009528437
pos,outside,0.024929589
pos,outside,0.035288934
pos,outside,0.006109276
pos,outside,0.010653659
pos,outside,0.030547688
pos,outside,0.018726718
pos,outside,0.02345281
pos,outside,0.005715411
pos,outside,0.024021894
pos,outside,0.017410586
pos,outside,0.029108532
pos,outside,0.022554383
pos,outside,0.039510522
pos,outside,0.028679585
pos,outside,0.026048653
pos,outside,0.011138108
pos,outside,0.0083827935
pos,outside,0.06526492
pos,outside,0.041445673
pos,outside,0.017193098
pos,outside,0.011928672
pos,outside,0.02074792
pos,outside,0.025266929
pos,outside,0.0085002985
pos,outside,0.017531168
pos,outside,0.010878752
pos,outside,0.008850604
pos,outside,0.02892266
pos,outside,0.045473203
pos,outside,0.0072588553
pos,outside,0.018792897
pos,outside,0.015201466
pos,outside,0.014559238
pos,outside,0.044487078
pos,outside,0.01762107
pos,outside,0.0058135614
pos,outside,0.020986466
pos,outside,0.02162387
pos,outside,0.026806379
pos,outside,0.008595463
pos,outside,0.02293015
pos,outside,0.018834358
pos,outside,0.06841908
pos,outside,0.014308229
pos,outside,0.008689248
pos,outside,0.020917539
pos,outside,0.02849956
pos,outside,0.005533994
pos,outside,0.011152234
pos,outside,0.009241033
pos,outside,0.019201675
pos,outside,0.030798735
pos,outside,0.033418346
pos,outside,0.018242085
pos,outside,0.023539284
pos,outside,0.024530523
pos,outside,0.057293344
pos,outside,0.028012423
pos,outside,0.013017242
pos,outside,0.011736969
pos,outside,0.018717282
pos,outside,0.008177707
pos,outside,0.02191136
pos,outside,0.07359504
pos,outside,0.022019248
pos,outside,0.030783867
pos,outside,0.010119264
pos,outside,0.0063701733
pos,outside,0.0068361214
pos,outside,0.016607268
