mark,group,bin,position_bp,epi_marg
H3K4me3,A549 G4+ enhancer,95,955.0,0.008923412300646305
H3K4me3,A549 G4+ enhancer,96,965.0,0.008683652617037296
H3K4me3,A549 G4+ enhancer,97,975.0,0.011194467544555664
H3K4me3,A549 G4+ enhancer,98,985.0,0.01670004241168499
H3K4me3,A549 G4+ enhancer,99,995.0,0.05001150444149971
H3K4me3,HEK293T G4+ promoter,0,5.0,0.018639525398612022
H3K4me3,HEK293T G4+ promoter,1,15.0,0.00956540647894144
H3K4me3,HEK293T G4+ promoter,2,25.0,0.0054153273813426495
H3K4me3,HEK293T G4+ promoter,3,35.0,0.0025500901974737644
H3K4me3,HEK293T G4+ promoter,4,45.0,0.0024204999208450317
H3K4me3,HEK293T G4+ promoter,5,55.0,0.0033586397767066956
H3K4me3,HEK293T G4+ promoter,6,65.0,0.005057619418948889
H3K4me3,HEK293T G4+ promoter,7,75.0,0.009227894246578217
H3K4me3,HEK293T G4+ promoter,8,85.0,0.015045643784105778
H3K4me3,HEK293T G4+ promoter,9,95.0,0.01103992946445942
H3K4me3,HEK293T G4+ promoter,10,105.0,0.009792505763471127
H3K4me3,HEK293T G4+ promoter,11,115.0,0.010531187988817692
H3K4me3,HEK293T G4+ promoter,12,125.0,0.007921705022454262
H3K4me3,HEK293T G4+ promoter,13,135.0,0.005899325478821993
H3K4me3,HEK293T G4+ promoter,14,145.0,0.009044613689184189
H3K4me3,HEK293T G4+ promoter,15,155.0,0.02118282951414585
H3K4me3,HEK293T G4+ promoter,16,165.0,0.01179161760956049
H3K4me3,HEK293T G4+ promoter,17,175.0,0.009511161595582962
H3K4me3,HEK293T G4+ promoter,18,185.0,0.011903549544513226
H3K4me3,HEK293T G4+ promoter,19,195.0,0.011612484231591225
H3K4me3,HEK293T G4+ promoter,20,205.0,0.00927460566163063
H3K4me3,HEK293T G4+ promoter,21,215.0,0.008569587953388691
H3K4me3,HEK293T G4+ promoter,22,225.0,0.007904683239758015
H3K4me3,HEK293T G4+ promoter,23,235.0,0.0074393670074641705
H3K4me3,HEK293T G4+ promoter,24,245.0,0.00754588982090354
H3K4me3,HEK293T G4+ promoter,25,255.0,0.008401676081120968
H3K4me3,HEK293T G4+ promoter,26,265.0,0.00842438917607069
H3K4me3,HEK293T G4+ promoter,27,275.0,0.00527995964512229
H3K4me3,HEK293T G4+ promoter,28,285.0,0.0035344259813427925
H3K4me3,HEK293T G4+ promoter,29,295.0,0.004438422620296478
H3K4me3,HEK293T G4+ promoter,30,305.0,0.005026301369071007
H3K4me3,HEK293T G4+ promoter,31,315.0,0.004546956159174442
H3K4me3,HEK293T G4+ promoter,32,325.0,0.006397771183401346
H3K4me3,HEK293T G4+ promoter,33,335.0,0.0138719342648983
H3K4me3,HEK293T G4+ promoter,34,345.0,0.009490106254816055
H3K4me3,HEK293T G4+ promoter,35,355.0,0.0029698226135224104
H3K4me3,HEK293T G4+ promoter,36,365.0,0.0025108037516474724
H3K4me3,HEK293T G4+ promoter,37,375.0,0.0035447804257273674
H3K4me3,HEK293T G4+ promoter,38,385.0,0.006457366514950991
H3K4me3,HEK293T G4+ promoter,39,395.0,0.011429074220359325
H3K4me3,HEK293T G4+ promoter,40,405.0,0.016685130074620247
H3K4me3,HEK293T G4+ promoter,41,415.0,0.008254298940300941
H3K4me3,HEK293T G4+ promoter,42,425.0,0.006994239520281553
H3K4me3,HEK293T G4+ promoter,43,435.0,0.009067120961844921
H3K4me3,HEK293T G4+ promoter,44,445.0,0.011379556730389595
H3K4me3,HEK293T G4+ promoter,45,455.0,0.016200054436922073
H3K4me3,HEK293T G4+ promoter,46,465.0,0.0222206711769104
H3K4me3,HEK293T G4+ promoter,47,475.0,0.025850171223282814
H3K4me3,HEK293T G4+ promoter,48,485.0,0.024225853383541107
H3K4me3,HEK293T G4+ promoter,49,495.0,0.02310958132147789
H3K4me3,HEK293T G4+ promoter,50,505.0,0.02484605461359024
H3K4me3,HEK293T G4+ promoter,51,515.0,0.026764309033751488
H3K4me3,HEK293T G4+ promoter,52,525.0,0.022703539580106735
H3K4me3,HEK293T G4+ promoter,53,535.0,0.019168421626091003
H3K4me3,HEK293T G4+ promoter,54,545.0,0.014647717587649822
H3K4me3,HEK293T G4+ promoter,55,555.0,0.007843125611543655
H3K4me3,HEK293T G4+ promoter,56,565.0,0.0038589858449995518
H3K4me3,HEK293T G4+ promoter,57,575.0,0.004513940773904324
H3K4me3,HEK293T G4+ promoter,58,585.0,0.013134576380252838
H3K4me3,HEK293T G4+ promoter,59,595.0,0.008366549387574196
H3K4me3,HEK293T G4+ promoter,60,605.0,0.0020043468102812767
H3K4me3,HEK293T G4+ promoter,61,615.0,0.002263100352138281
H3K4me3,HEK293T G4+ promoter,62,625.0,0.0043234569020569324
H3K4me3,HEK293T G4+ promoter,63,635.0,0.004679632838815451
H3K4me3,HEK293T G4+ promoter,64,645.0,0.003959628753364086
H3K4me3,HEK293T G4+ promoter,65,655.0,0.01017254963517189
H3K4me3,HEK293T G4+ promoter,66,665.0,0.008289328776299953
H3K4me3,HEK293T G4+ promoter,67,675.0,0.004402549006044865
H3K4me3,HEK293T G4+ promoter,68,685.0,0.004288629163056612
H3K4me3,HEK293T G4+ promoter,69,695.0,0.004310470540076494
H3K4me3,HEK293T G4+ promoter,70,705.0,0.004779682960361242
H3K4me3,HEK293T G4+ promoter,71,715.0,0.006409162189811468
H3K4me3,HEK293T G4+ promoter,72,725.0,0.006300147157162428
H3K4me3,HEK293T G4+ promoter,73,735.0,0.005903412587940693
H3K4me3,HEK293T G4+ promoter,74,745.0,0.0071448772214353085
H3K4me3,HEK293T G4+ promoter,75,755.0,0.009697744622826576
H3K4me3,HEK293T G4+ promoter,76,765.0,0.011680440045893192
H3K4me3,HEK293T G4+ promoter,77,775.0,0.010424601845443249
H3K4me3,HEK293T G4+ promoter,78,785.0,0.0072335489094257355
H3K4me3,HEK293T G4+ promoter,79,795.0,0.0069837141782045364
H3K4me3,HEK293T G4+ promoter,80,805.0,0.008286566473543644
H3K4me3,HEK293T G4+ promoter,81,815.0,0.009364322759211063
H3K4me3,HEK293T G4+ promoter,82,825.0,0.01103582140058279
H3K4me3,HEK293T G4+ promoter,83,835.0,0.016865186393260956
H3K4me3,HEK293T G4+ promoter,84,845.0,0.010163738392293453
