cell_type,mark,mean_signal
A549,H3K4me3,0.025341756641864777
A549,H3K4me3,0.001568648498505354
A549,H3K4me3,0.0015664336970075965
A549,H3K4me3,7.359273149631917e-05
A549,H3K4me3,9.751803008839488e-05
A549,H3K4me3,0.005656409543007612
A549,H3K4me3,0.0007719819550402462
A549,H3K4me3,0.0009049272630363703
A549,H3K4me3,0.001318576280027628
A549,H3K4me3,0.0019137990893796086
A549,H3K4me3,0.007349740713834763
A549,H3K4me3,0.010558216832578182
A549,H3K4me3,0.018882429227232933
A549,H3K4me3,0.04337835684418678
A549,H3K4me3,0.047098319977521896
A549,H3K4me3,0.05384208634495735
A549,H3K4me3,0.063447006046772
A549,H3K4me3,0.07390269637107849
A549,H3K4me3,0.07462748140096664
A549,H3K4me3,0.07494205981492996
A549,H3K4me3,0.07054722309112549
A549,H3K4me3,0.06555847823619843
A549,H3K4me3,0.0647357776761055
A549,H3K4me3,0.06367717683315277
A549,H3K4me3,0.0626952052116394
A549,H3K4me3,0.06629102677106857
A549,H3K4me3,0.06489358842372894
A549,H3K4me3,0.06521891057491302
A549,H3K4me3,0.07219267636537552
A549,H3K4me3,0.08262176811695099
A549,H3K4me3,0.09085651487112045
A549,H3K4me3,0.07920509576797485
A549,H3K4me3,0.07896284013986588
A549,H3K4me3,0.054690614342689514
A549,H3K4me3,0.04896789416670799
A549,H3K4me3,0.040960121899843216
A549,H3K4me3,0.035805340856313705
A549,H3K4me3,0.03007613494992256
A549,H3K4me3,0.02615719847381115
A549,H3K4me3,0.002313567092642188
A549,H3K4me3,0.0003548518870957196
A549,H3K4me3,0.004036050755530596
A549,H3K4me3,0.011051839217543602
A549,H3K4me3,0.019811466336250305
A549,H3K4me3,0.024704869836568832
A549,H3K4me3,0.044471483677625656
A549,H3K4me3,0.04958486184477806
A549,H3K4me3,0.05424325168132782
A549,H3K4me3,0.05760100111365318
A549,H3K4me3,0.060718826949596405
A549,H3K4me3,0.06619192659854889
A549,H3K4me3,0.07402566820383072
A549,H3K4me3,0.08346560597419739
A549,H3K4me3,0.10065043717622757
A549,H3K4me3,0.1227426528930664
A549,H3K4me3,0.018907997757196426
A549,H3K4me3,0.016833757981657982
A549,H3K4me3,0.016019832342863083
A549,H3K4me3,0.01366516575217247
A549,H3K4me3,0.01037516724318266
A549,H3K4me3,0.004784127231687307
A549,H3K4me3,0.00013135701010469347
A549,H3K4me3,0.00014320967602543533
A549,H3K4me3,0.0001573931222083047
A549,H3K4me3,0.0001691068464424461
A549,H3K4me3,0.00013276521349325776
A549,H3K4me3,0.00013938730990048498
A549,H3K4me3,0.00013938730990048498
A549,H3K4me3,0.0027420748956501484
A549,H3K4me3,0.0030744876712560654
A549,H3K4me3,0.0030712075531482697
A549,H3K4me3,0.0030540351290255785
A549,H3K4me3,0.0029836122412234545
A549,H3K4me3,0.002731653628870845
A549,H3K4me3,0.0024095969274640083
A549,H3K4me3,0.002059436170384288
A549,H3K4me3,0.00016369849618058652
A549,H3K4me3,0.00015655950119253248
A549,H3K4me3,0.00014478979574050754
A549,H3K4me3,0.00013437071174848825
A549,H3K4me3,0.00013442692579701543
A549,H3K4me3,0.00013278675032779574
A549,H3K4me3,0.0001161580003099516
A549,H3K4me3,0.0033137225545942783
A549,H3K4me3,0.006067577283829451
A549,H3K4me3,0.011029042303562164
A549,H3K4me3,0.023341091349720955
A549,H3K4me3,0.028073037043213844
A549,H3K4me3,0.0329178161919117
A549,H3K4me3,0.037845101207494736
A549,H3K4me3,0.043348945677280426
A549,H3K4me3,0.05171102285385132
A549,H3K4me3,0.060612838715314865
A549,H3K4me3,0.0688774436712265
A549,H3K4me3,0.07571998238563538
A549,H3K4me3,0.061907362192869186
A549,H3K4me3,0.055261172354221344
A549,H3K4me3,0.05359438806772232
A549,H3K4me3,0.047628432512283325
A549,H3K4me3,0.00013075389142613858
A549,H3K4me3,0.005488531664013863
A549,H3K4me3,0.009863113053143024
A549,H3K4me3,0.012940570712089539
A549,H3K4me3,0.010928967967629433
A549,H3K4me3,0.011629299260675907
A549,H3K4me3,0.012088959105312824
A549,H3K4me3,0.053865112364292145
A549,H3K4me3,0.05636647343635559
A549,H3K4me3,0.05509238317608833
A549,H3K4me3,0.05461926385760307
A549,H3K4me3,0.04555836692452431
A549,H3K4me3,0.01993793062865734
A549,H3K4me3,0.004845224786549807
A549,H3K4me3,0.004007341805845499
