group,seq_bin,epi_bin,attn_weight
A549 G4+ promoter,4,38,0.010838503949344158
A549 G4+ promoter,4,39,0.01155483815819025
A549 G4+ promoter,4,40,0.013214587233960629
A549 G4+ promoter,4,41,0.014400546438992023
A549 G4+ promoter,4,42,0.013964522629976273
A549 G4+ promoter,4,43,0.012463360093533993
A549 G4+ promoter,4,44,0.016046037897467613
A549 G4+ promoter,4,45,0.03893166407942772
A549 G4+ promoter,4,46,0.09702715277671814
A549 G4+ promoter,4,47,0.1111714243888855
A549 G4+ promoter,4,48,0.06154915690422058
A549 G4+ promoter,4,49,0.03313238173723221
A549 G4+ promoter,4,50,0.017088182270526886
A549 G4+ promoter,4,51,0.007885638624429703
A549 G4+ promoter,4,52,0.004072411917150021
A549 G4+ promoter,4,53,0.0034350277855992317
A549 G4+ promoter,4,54,0.004948033019900322
A549 G4+ promoter,4,55,0.007501795422285795
A549 G4+ promoter,4,56,0.0071679940447211266
A549 G4+ promoter,4,57,0.005423447582870722
A549 G4+ promoter,4,58,0.003634084714576602
A549 G4+ promoter,4,59,0.003036476206034422
A549 G4+ promoter,4,60,0.0036062945146113634
A549 G4+ promoter,4,61,0.005572227295488119
A549 G4+ promoter,4,62,0.005518723279237747
A549 G4+ promoter,4,63,0.003845126833766699
A549 G4+ promoter,4,64,0.0025795523542910814
A549 G4+ promoter,4,65,0.0031344464514404535
A549 G4+ promoter,4,66,0.004026251379400492
A549 G4+ promoter,4,67,0.004590795841068029
A549 G4+ promoter,4,68,0.004114703740924597
A549 G4+ promoter,4,69,0.0028632909525185823
A549 G4+ promoter,4,70,0.002157192677259445
A549 G4+ promoter,4,71,0.0020901288371533155
A549 G4+ promoter,4,72,0.003046792233362794
A549 G4+ promoter,4,73,0.005057097412645817
A549 G4+ promoter,4,74,0.0059336889535188675
A549 G4+ promoter,4,75,0.004890596028417349
A549 G4+ promoter,4,76,0.002694584196433425
A549 G4+ promoter,4,77,0.0018486346816644073
A549 G4+ promoter,4,78,0.0019778322894126177
A549 G4+ promoter,4,79,0.002956223441287875
A549 G4+ promoter,4,80,0.004678540863096714
A549 G4+ promoter,4,81,0.0068663619458675385
A549 G4+ promoter,4,82,0.011848014779388905
A549 G4+ promoter,4,83,0.012078986503183842
A549 G4+ promoter,4,84,0.005937002599239349
A549 G4+ promoter,4,85,0.003001921810209751
A549 G4+ promoter,4,86,0.0024747345596551895
A549 G4+ promoter,4,87,0.0027524123433977365
A549 G4+ promoter,4,88,0.002302535343915224
A549 G4+ promoter,4,89,0.0022564854007214308
A549 G4+ promoter,4,90,0.002757744863629341
A549 G4+ promoter,4,91,0.003402880858629942
A549 G4+ promoter,4,92,0.003349411068484187
A549 G4+ promoter,4,93,0.0032325771171599627
A549 G4+ promoter,4,94,0.0024982367176562548
A549 G4+ promoter,4,95,0.0016398443840444088
A549 G4+ promoter,4,96,0.00194163981359452
A549 G4+ promoter,4,97,0.0038665083702653646
A549 G4+ promoter,4,98,0.011680475436151028
A549 G4+ promoter,4,99,0.04285368323326111
A549 G4+ promoter,5,0,0.03510589525103569
A549 G4+ promoter,5,1,0.008107679896056652
A549 G4+ promoter,5,2,0.004279676359146833
A549 G4+ promoter,5,3,0.0042236908338963985
A549 G4+ promoter,5,4,0.005851715337485075
A549 G4+ promoter,5,5,0.00881770346313715
A549 G4+ promoter,5,6,0.015620012767612934
A549 G4+ promoter,5,7,0.024357406422495842
A549 G4+ promoter,5,8,0.014951859600841999
A549 G4+ promoter,5,9,0.005048503167927265
A549 G4+ promoter,5,10,0.0027732776943594217
A549 G4+ promoter,5,11,0.002633980242535472
A549 G4+ promoter,5,12,0.002795649692416191
A549 G4+ promoter,5,13,0.0027870258782058954
A549 G4+ promoter,5,14,0.0025262313429266214
A549 G4+ promoter,5,15,0.003286857157945633
A549 G4+ promoter,5,16,0.0037623243406414986
A549 G4+ promoter,5,17,0.004282982554286718
A549 G4+ promoter,5,18,0.0037303436547517776
A549 G4+ promoter,5,19,0.00265614315867424
A549 G4+ promoter,5,20,0.00208391435444355
A549 G4+ promoter,5,21,0.0026478650979697704
A549 G4+ promoter,5,22,0.00444813072681427
A549 G4+ promoter,5,23,0.008227257058024406
A549 G4+ promoter,5,24,0.010537178255617619
A549 G4+ promoter,5,25,0.008317133411765099
A549 G4+ promoter,5,26,0.004964095540344715
A549 G4+ promoter,5,27,0.004164231475442648
A549 G4+ promoter,5,28,0.004984025377780199
A549 G4+ promoter,5,29,0.00854242779314518
A549 G4+ promoter,5,30,0.01274053193628788
A549 G4+ promoter,5,31,0.01262239832431078
A549 G4+ promoter,5,32,0.01044789794832468
A549 G4+ promoter,5,33,0.008208928629755974
A549 G4+ promoter,5,34,0.00687634339556098
A549 G4+ promoter,5,35,0.008583778515458107
A549 G4+ promoter,5,36,0.0109334047883749
A549 G4+ promoter,5,37,0.011555902659893036
A549 G4+ promoter,5,38,0.01104255672544241
A549 G4+ promoter,5,39,0.011849419213831425
A549 G4+ promoter,5,40,0.01351802609860897
A549 G4+ promoter,5,41,0.01462599541991949
A549 G4+ promoter,5,42,0.014150324277579784
A549 G4+ promoter,5,43,0.012511281296610832
A549 G4+ promoter,5,44,0.01602133736014366
A549 G4+ promoter,5,45,0.03882294520735741
A549 G4+ promoter,5,46,0.09669414162635803
A549 G4+ promoter,5,47,0.11021418869495392
A549 G4+ promoter,5,48,0.06016925349831581
A549 G4+ promoter,5,49,0.03252561762928963
A549 G4+ promoter,5,50,0.017086086794734
A549 G4+ promoter,5,51,0.007922439835965633
A549 G4+ promoter,5,52,0.0041238097473979
A549 G4+ promoter,5,53,0.0035262973979115486
A549 G4+ promoter,5,54,0.004972840193659067
A549 G4+ promoter,5,55,0.007461899425834417
A549 G4+ promoter,5,56,0.007085712160915136
A549 G4+ promoter,5,57,0.005395511165261269
A549 G4+ promoter,5,58,0.00363646587356925
A549 G4+ promoter,5,59,0.0030897639226168394
A549 G4+ promoter,5,60,0.0036442698910832405
A549 G4+ promoter,5,61,0.00554194301366806
A549 G4+ promoter,5,62,0.005543277598917484
A549 G4+ promoter,5,63,0.0038688573986291885
A549 G4+ promoter,5,64,0.002627958543598652
A549 G4+ promoter,5,65,0.003156105289235711
A549 G4+ promoter,5,66,0.00405918201431632
A549 G4+ promoter,5,67,0.0046438975259661674
A549 G4+ promoter,5,68,0.004202688112854958
A549 G4+ promoter,5,69,0.0029539838433265686
A549 G4+ promoter,5,70,0.0022740443237125874
A549 G4+ promoter,5,71,0.002172233071178198
A549 G4+ promoter,5,72,0.0030802092514932156
